2212 A, A
34965 A, AB
27232 AABERG, S
28432 AALSETH, CE
30978 AALST, MKV
19647 AALTO, S
2306 AAMINNEBORG, S
34875 AAOUD, EE
46210 AAOUD, EHE
43790 AA, OVD
6806 A, AR
6491 AARHUS, UO
51260 AARONSON, S
12697 AARSETH, SJ
17649 AARTS, G
17148 A, B
2558 A, BA
7035 ABADA, A
9441 ABAD, ASD
40384 ABAD, C
31640 ABAD, E
12458 ABADI, MG
9269 ABAD, J
14558 ABANOV, A
15896 ABANOV, AG
52271 ABARBANEL, HDI
18840 ABARBANEL, J
35687 ABARENKOVA, NI
18857 ABATE, M
31100 ABAZAJIAN, K
4783 ABBAMONTE, P
7370 ABBAS, A
26374 ABBASABADDI, A
8254 ABBASABADI, A
35750 ABBASPUR, R
13942 ABBAS, S
34755 ABBASSI, AH
51472 ABBASSI, AM
50215 ABBETT, WP
48737 ABBEY, AF
17411 ABBIENDI, G
27033 ABBIWJACKSON, RM
34886 ABBOTT, B
51000 ABBOTT, D
9311 ABDALLA, E
9312 ABDALLA, MCB
18304 ABDELKHALEK, K
40775 ABDELSALAM, H
21174 ABDELSALAM, HM
18133 ABDESSELAM, A
36915 ABDESSELAM, B
37339 ABDON, M
50583 ABDULLAEV, FK
33955 ABDULLAYEV, AP
17084 ABDULLIN, S
32922 ABDULSABIROV, RY
50620 ABDURAHMAN, A
35020 ABDURASHITOV, JN
50805 ABDURIXIT, A
46386 ABDURRAHMAN, A
43321 ABE, E
39816 ABE, F
16605 ABE, H
25820 ABE, K
50285 ABE, L
8880 ABELLIDO, JG
44868 ABELL, S
52419 ABEL, M
25983 ABEL, S
7650 ABEL, SA
12280 ABEL, T
9999 ABE, M
9081 ABE, O
30249 ABERGEL, A
19290 ABERG, S
3184 ABE, S
47339 ABE, T
33967 ABE, Y
8904 ABHIRAMAN, R
46779 ABHYANKAR, SS
28981 ABIA, C
42919 ABILIO, CC
23126 ABKEVICH, V
15017 ABKEVICH, VI
35433 ABLAKULOV, K
